gender,lsoa_11,count,count_all,rate
Female,E01006648,59,1471,4.01
Male,E01006648,38,1430,2.66
Female,E01006651,25,704,3.55
Male,E01006651,9,689,1.31
Female,E01006652,17,610,2.79
Male,E01006652,9,575,1.57
Female,E01006653,36,625,5.76
Male,E01006653,14,639,2.19
Female,E01006654,17,600,2.83
Male,E01006654,9,624,1.44
Female,E01006655,32,769,4.16
Male,E01006655,14,700,2
Female,E01006656,26,561,4.63
Male,E01006656,11,531,2.07
Female,E01006657,15,520,2.88
Male,E01006657,,498,0.6
Female,E01006658,14,478,2.93
Male,E01006658,,414,0.97
Female,E01006659,17,649,2.62
Male,E01006659,11,841,1.31
Female,E01006660,19,667,2.85
Male,E01006660,10,679,1.47
Female,E01006661,60,828,7.25
Male,E01006661,31,774,4.01
Female,E01006662,84,1338,6.28
Male,E01006662,41,1081,3.79
Female,E01006663,24,462,5.19
Male,E01006663,16,426,3.76
Female,E01006664,36,958,3.76
Male,E01006664,20,927,2.16
Female,E01006665,24,697,3.44
Male,E01006665,11,670,1.64
Female,E01006666,21,648,3.24
Male,E01006666,11,576,1.91
Female,E01006667,23,634,3.63
Male,E01006667,17,627,2.71
Female,E01006668,18,636,2.83
Male,E01006668,9,609,1.48
Female,E01006669,25,691,3.62
